Model,Serial Number,MAC,Device Name,,,,MAC address ,AP Name,CL 2017 Audit,,,MWC15SENT,
AIR-CAP3702i-E-K9,FCW1928N7TH,5897BD3F59FC,AP1187,3702i,,,5897BD3F59FC,AP1187-3702i,1,,,,
AIR-CAP3702i-E-K9,,,AP1188,3702i,,,,AP1188-3702i,,,,,
AIR-CAP3702i-E-K9,FCW1928N7YN,5897BD2B81C0,AP1189,3702i,,,5897BD2B81C0,AP1189-3702i,1,,,,
AIR-CAP3702i-E-K9,,,AP1190,3702i,,,,AP1190-3702i,,,,,
AIR-CAP3702i-E-K9,FCW1928N84K,5897BD30390C,AP1191,3702i,,,5897BD30390C,AP1191-3702i,1,,,,
AIR-CAP3702i-E-K9,FCW1928N84C,5897BD2EFA80,AP1192,3702i,,,5897BD2EFA80,AP1192-3702i,1,,,,
AIR-CAP3702i-E-K9,FCW1928N7ZE,5897BD2B81E8,AP1193,3702i,,,5897BD2B81E8,AP1193-3702i,1,,,,
AIR-CAP3702i-E-K9,,,AP1194,3702i,,,,AP1194-3702i,,,,,
AIR-CAP3702i-E-K9,,,AP1195,3702i,,,,AP1195-3702i,,,,,
AIR-CAP3702i-E-K9,,,AP1196,3702i,,,,AP1196-3702i,,,,,
AIR-CAP3702i-E-K9,,,AP1197,3702i,,,,AP1197-3702i,,,,,
AIR-CAP3702i-E-K9,,,AP1198,3702i,,,,AP1198-3702i,,,,,
AIR-CAP3702i-E-K9,,,AP1199,3702i,,,,AP1199-3702i,,,,,
AIR-CAP3702i-E-K9,,,AP1200,3702i,,,,AP1200-3702i,,,,,
AIR-CAP3702i-E-K9,FCW1928N81W,5897BD3037D0,AP1201,3702i,,,5897BD3037D0,AP1201-3702i,1,,,,
AIR-CAP3702i-E-K9,,,AP1202,3702i,,,,AP1202-3702i,,,,,
AIR-CAP3702i-E-K9,,,AP1203,3702i,,,,AP1203-3702i,,,,,
AIR-CAP3702i-E-K9,,,AP1204,3702i,,,,AP1204-3702i,,,,,
AIR-CAP3702i-E-K9,,,AP1205,3702i,,,,AP1205-3702i,,,,,
AIR-CAP3702i-E-K9,,,AP1206,3702i,,,,AP1206-3702i,,,,,
,,,AP1207,3702i,,,,AP1207-3702i,,,,,
,,,AP1208,3702i,,,,AP1208-3702i,,,,,
,,,AP1209,3702i,,,,AP1209-3702i,,,,,
,,,AP1210,3702i,,,,AP1210-3702i,,,,,
