Model,Serial Number,MAC,Device Name,,,,MAC address ,AP Name,CL 2017 Audit,,,MWC15SENT,
AIR-CAP3702i-E-K9,FCZ1802U1MW,B8386148C9DC,AP1043,3702i,1,ap name,B8386148C9DC,AP1043-3702i,,,,,
AIR-CAP3702i-E-K9,FCZ1802P1N3,B8386148CA08,AP1044,3702i,1,ap name,B8386148CA08,AP1044-3702i,,,,,
AIR-CAP3702i-E-K9,FCZ1802U1ML,B8386148BCDC,AP1045,3702i,1,ap name,B8386148BCDC,AP1045-3702i,,,,,
AIR-CAP3702i-E-K9,FCZ1802U1MK,B8386148BC8C,AP1046,3702i,1,ap name,B8386148BC8C,AP1046-3702i,,,,,
AIR-CAP3702i-E-K9,FCZ1802U1MQ,B83861436CD4,AP1047,3702i,1,ap name,B83861436CD4,AP1047-3702i,,,,,
AIR-CAP3702i-E-K9,FCZ1802U1MN,B838614360E8,AP1048,3702i,1,ap name,B838614360E8,AP1048-3702i,,,,,
AIR-CAP3702i-E-K9,FCZ1802P1MU,B8386148CA00,AP1049,3702i,1,ap name,B8386148CA00,AP1049-3702i,,,,,
AIR-CAP3702i-E-K9,FCZ1802P1MZ,B8386148C580,AP1050,3702i,1,ap name,B8386148C580,AP1050-3702i,,,,,
AIR-CAP3702i-E-K9,FCZ1802P1MY,B838612D9CA0,AP1051,3702i,1,ap name,B838612D9CA0,AP1051-3702i,,,,,
AIR-CAP3702i-E-K9,FCZ1802P1MV,B83861436D80,AP1052,3702i,1,ap name,B83861436D80,AP1052-3702i,,,,,
AIR-CAP3702i-E-K9,FCZ1802U1MR,B8386143610C,AP1053,3702i,1,ap name,B8386143610C,AP1053-3702i,,,,,
AIR-CAP3702i-E-K9,FCZ1802U1MP,B838612D505C,AP1054,3702i,1,ap name,B838612D505C,AP1054-3702i,,,,,
AIR-CAP3702i-E-K9,FCZ1802P1MW,B8386148C9F8,AP1055,3702i,1,ap name,B8386148C9F8,AP1055-3702i,,,,,
AIR-CAP3702i-E-K9,FCZ1802P1N0,B838614368E4,AP1056,3702i,1,ap name,B838614368E4,AP1056-3702i,,,,,
AIR-CAP3702i-E-K9,FCZ1802P1ND,B838612D9BA8,AP1057,3702i,1,ap name,B838612D9BA8,AP1057-3702i,1,dented top,,,
AIR-CAP3702i-E-K9,FCZ1802U1NB,B8386148B818,AP1058,3702i,1,ap name,B8386148B818,AP1058-3702i,,,,,
AIR-CAP3702i-E-K9,FCZ1802U1NC,B838612D517C,AP1059,3702i,1,ap name,B838612D517C,AP1059-3702i,,,,,
AIR-CAP3702i-E-K9,FCZ1802U1NE,B8386148B83C,AP1060,3702i,1,ap name,B8386148B83C,AP1060-3702i,1,,1,1,
AIR-CAP3702i-E-K9,FCZ1802U1MC,B8386148CA0C,AP1061,3702i,1,ap name,B8386148CA0C,AP1061-3702i,1,,1,,
AIR-CAP3702i-E-K9,FCZ1802P1NL,B838612D4460,AP1062,3702i,1,ap name,B838612D4460,AP1062-3702i,,,1,1,
AIR-CAP3702i-E-K9,FCZ1802U1N8,B83861435CEC,AP1063,3702i,1,ap name,B83861435CEC,AP1063-3702i,1,,1,,
AIR-CAP3702i-E-K9,FCZ1802U1N9,B838612D9098,AP1064,3702i,1,ap name,B838612D9098,AP1064-3702i,,,1,1,
AIR-CAP3702i-E-K9,FCZ1802U1N2,B83861435D44,AP1065,3702i,0,ap name,B83861435D44,AP1065-3702i,,,,,
AIR-CAP3702i-E-K9,FCZ1802U1MY,B838612D4A6C,AP1066,3702i,1,ap name,B838612D4A6C,AP1066-3702i,1,,1,1,
AIR-CAP3702i-E-K9,FCZ1802U1N4,BC166509A8B4,AP1067,3702i,1,ap name,BC166509A8B4,AP1067-3702i,1,,1,1,
AIR-CAP3702i-E-K9,FCZ1802U1N3,BC166509CE70,AP1068,3702i,1,ap name,BC166509CE70,AP1068-3702i,1,,1,1,
AIR-CAP3702i-E-K9,FCZ1802U1N0,B838612D9160,AP1069,3702i,1,ap name,B838612D9160,AP1069-3702i,,,1,1,
AIR-CAP3702i-E-K9,FCZ1802U1N5,3C08F64E4C34,AP1070,3702i,1,ap name,3C08F64E4C34,AP1070-3702i,,gifted,,,
AIR-CAP3702i-E-K9,FCZ1802U1N6,3C08F64E5130,AP1071,3702i,1,ap name,3C08F64E5130,AP1071-3702i,,,,,
AIR-CAP3702i-E-K9,FCZ1802U1N1,B8386118AA04,AP1072,3702i,1,ap name,B8386118AA04,AP1072-3702i,,,,,
AIR-CAP3702i-E-K9,FCZ1802U1MX,B838612D9000,AP1073,3702i,1,ap name,B838612D9000,AP1073-3702i,,,,,
AIR-CAP3702i-E-K9,FCZ1802P1N2,B8386148C994,AP1074,3702i,1,ap name,B8386148C994,AP1074-3702i,,,,,
AIR-CAP3702i-E-K9,FCZ1802P1MT,B8386148C9CC,AP1075,3702i,1,ap name,B8386148C9CC,AP1075-3702i,,,1,,
AIR-CAP3702i-E-K9,FCZ1802P1MX,B83861436D10,AP1076,3702i,1,ap name,B83861436D10,AP1076-3702i,,,,,
AIR-CAP3702i-E-K9,FCZ1802P1N8,B83861436CBC,AP1077,3702i,1,ap name,B83861436CBC,AP1077-3702i,,,,,
AIR-CAP3702i-E-K9,FCZ1802U1MZ,B83861435CF8,AP1078,3702i,0,ap name,B83861435CF8,AP1078-3702i,,,,,
AIR-CAP3702i-E-K9,FCZ1802P1NW,B83861435DE4,AP1079,3702i,1,ap name,B83861435DE4,AP1079-3702i,,,,,
AIR-CAP3702i-E-K9,FCZ1802P1NU,B8386148B850,AP1080,3702i,1,ap name,B8386148B850,AP1080-3702i,1,,,,
AIR-CAP3702i-E-K9,FGL1750S1ME,7CAD74FFE8AA,AP1081,3702i,1,ap name,7CAD74FFE8AA,AP1081-3702i,,,,,
AIR-CAP3702i-E-K9,FGL1750S5FP,3C08F608460C,AP1082,3702i,1,ap name,3C08F608460C,AP1082-3702i,,,,,
